category,title,organization,tags,deadline
Competitions,Krack It Like Krachos-Fusion Talent Hunt 2025,SVARAS,"Dance, Social Media & Digital",13days left
Competitions,Adstract: The Advertisement World Through Your Lens,"Indian Institute of Management (IIM), Rohtak","Engineering Students, MBA Students",7days left
Competitions,The IPL Auction,"Indian Institute of Management (IIM), Indore","Sports, Simulation Game",N/A
Competitions,CodeCrack,Institute of Electrical and Electronics Engineers (IEEE),"Engineering Students, MBA Students",22days left
Competitions,Live Project Opportunity | Multiple Roles Available,Skilled Sapiens,"Case Study, Panel Discussion",1day left
Competitions,Stock Analysis- June,IBS Business School Ahmedabad,"MBA Students, Undergraduate",14days left
Competitions,Caselet'25,CracknonTech,"Case Study, All",5days left
Competitions,Decision Science Track - The American Express Campus Challenge 2025,American Express,"MBA Students, Engineering Students",N/A
Competitions,QSW Sustainability Impact Challenge 2025,Quick Smart Wash Private Limited,"Presentation, All",2days left
Competitions,Stockgro Portfolio,"Rai Technology University(RTU), Bangalore","Finance, Online Trading",3days left
Hackathons,Innoverse 2025,Rieka Elevator And Escalator Pvt. Ltd.,"Engineering Students, MBA Students",13days left
Hackathons,UI/UX Hackathon | Designathon,Tutedude,"Hackathon, All",10days left
Hackathons,Interactive Financial Literacy & Fraud Awareness Tool for Holistic Personal Education,"I.K. Gujral Punjab Technical University (IKGPTU), Jalandhar","Engineering Students, Postgraduate",3days left
Hackathons,Open Summer of Code (OSOC),"University of Petroleum & Energy Studies (UPES), Dehradun","Coding Challenge, Engineering Students",10days left
Hackathons,Coders Arena 2025 – The Battle of Algorithms,"Chandigarh Group of colleges, landran","Coding Challenge, All",7days left
Hackathons,Revolutionizing Customer Service with Intelligent Agents,Proptelligence Technologies,"Hackathon, Coding Challenge",27days left
Hackathons,Hack4Bihar,StarkSeek,"Hackathon, All",23days left
Hackathons,ZopDev Summer of Code 2025,zop.dev,"Engineering Students, MBA Students",12days left
Hackathons,COSC HackWeek,Chaitanya Bharathi Institute Of Technology,"Engineering Students, MBA Students",10days left
Hackathons,"T20DSAChallenge | Master ""Range Queries & Prefix Sum"" in 7 days",AlgoUniversity,"Coding Challenge, Hackathon",8days left
Hiring Challenges,Decision Science Track - The American Express Campus Challenge 2025,American Express,"MBA Students, Engineering Students",N/A
Hiring Challenges,Juspay Hiring Challenge 2025,Juspay,"Online Quiz, Coding Challenge",26days left
Hiring Challenges,Adobe India Hackathon,Adobe,"Engineering Students, Postgraduate",23days left
Hiring Challenges,The Coca-Cola Mantra Challenge 2025,Coca-Cola India and Southwest Asia,"Case Study, Simulation Game",10days left
Quizzes,Product Management Quotient,Go Crackit,"Online Quiz, Engineering Students",13days left
Quizzes,TwinQ,"Indian Institute of Management (IIM), Rohtak","Engineering Students, MBA Students",2days left
Quizzes,Corporate Case Competition Quiz,"COEP Technological University, Pune, Maharashtra","Online Quiz, Engineering Students",13days left
Quizzes,Crypt IT,Bal Bharati Public School Pitampura,"Treasure Hunt, All",4days left
Quizzes,Python Quiz competition,Knowledge Institute of Technology,"Engineering Students, MBA Students",3days left
Quizzes,ProdMan - The Product Management Quiz Competition,Business Prodigy's,"All, Online Quiz",5days left
Quizzes,Diversity Quiz - IITK Quiz Club X UNMUKT,"Indian Institute of Technology (IIT), Kanpur","Online Quiz, Engineering Students",3days left
Quizzes,World of Apple Quiz - Are you an Apple superfan?,Sewamo Enterprises,"Online Quiz, Engineering Students",5days left
Quizzes,DC Team Quiz,Ambedkar School of Specialised Excellence,"Sports, Online Quiz",3days left
Quizzes,Stock Portfolio League by InvestSchool - 27th Jun,InvestSchool,"Finance, Awards",12days left
Scholarships,Enterprising Technopreneur Fellowship,HCDS Technologies,"MBA Students, Undergraduate",8days left
Scholarships,National Level Online Scholarship Test,Aaryajanani Trust,"Online Quiz, Scholarship",N/A
Scholarships,Skillsvest Masters Fellowship,"University of California, Berkeley","Awards, Scholarship",25days left
Scholarships,IISER Berhampur Post-Doctoral Research Fellowship (PDRF) 2025-26,Indian Institute of Science Education and Research (IISER) Berhampur,"Scholarship, Postgraduate",N/A
Scholarships,Indus Towers Scholarship Program 2024-25,CSR initiative of Indus Towers Ltd (formerly Bharti Infratel Ltd.),"Scholarship, All",N/A
Scholarships,Vahani Scholarship 2025-26,Vahani Group,"Scholarship, All",N/A
Scholarships,Robert Gordon University GREAT Scholarships 2025,Robert Gordon University GREAT Scholarships 2025,"Scholarship, Postgraduate",4days left
Scholarships,Dr. BR Ambedkar Scholarship for Topper Award,Govt of Assam,"Scholarship, Undergraduate",N/A
Scholarships,Vice-Chancellor’s International Excellence Scholarship for India 2025,"University of Waikato, New Zealand","Postgraduate, Undergraduate",N/A
